hazard,hazard_display,expected_domain_count,available_domain_count,coverage_fraction,available_domains,missing_domains,coverage_note
space_radiation,Space Radiation,5,4,0.8,inflammation / immune-adjacent status; hematologic / oxygen-carrying capacity; cardiovascular regulation; recovery-related markers,cognitive load,4/5 mapped domains available; missing: cognitive load.
isolation_and_confinement,Isolation and Confinement,6,1,0.16667,inflammation / immune-adjacent status,sleep / circadian regulation; autonomic regulation; emotional regulation; cognitive load; recovery capacity,"1/6 mapped domains available; missing: sleep / circadian regulation, autonomic regulation, emotional regulation, cognitive load, recovery capacity."
distance_from_earth,Distance from Earth,5,1,0.2,cardiovascular regulation,recovery capacity; cognitive load; emotional regulation; autonomic regulation,"1/5 mapped domains available; missing: recovery capacity, cognitive load, emotional regulation, autonomic regulation."
gravity_fields,Gravity Fields,6,5,0.83333,body composition / physical status; cardiovascular regulation; metabolic regulation; hematologic / oxygen-carrying capacity; recovery-related markers,autonomic regulation,5/6 mapped domains available; missing: autonomic regulation.
hostile_closed_environments,Hostile / Closed Environments,6,3,0.5,inflammation / immune-adjacent status; recovery-related markers; metabolic regulation,sleep / circadian regulation; autonomic regulation; emotional regulation,"3/6 mapped domains available; missing: sleep / circadian regulation, autonomic regulation, emotional regulation."
